t,Yt,Xt
1,30.2,55.789948
2,28.2,54.93164
3,26.6,54.64554
4,25,55.07469
5,26,55.789948
6,26,56.505203
7,26,55.789948
8,24,52.928925
9,23,50.0679
10,24,51.498413
11,25,53.64418
12,26,55.789948
13,27,59.366226
14,29,62.22725
15,29,62.942505
16,29,62.942505
17,29,62.22725
18,28,60.796738
19,27,59.366226
20,27,58.65097
21,27,58.65097
22,27,57.935715
23,27,57.935715
24,27,58.65097
25,27,59.366226
26,28,61.511993
27,29,63.65776
28,31,66.51878
29,31,67.949295
30,32,68.66455
31,32,68.66455
32,31,67.23404
33,31,66.51878
34,30,65.80353
35,30,64.37302
36,29,62.22725
37,27,59.366226
38,26,56.505203
39,25,55.07469
40,25,53.64418
41,24,52.928925
42,24,52.928925
43,25,53.64418
44,25,53.64418
45,25,54.359436
46,26,55.789948
47,26,57.22046
48,27,57.935715
49,27,58.65097
50,27,58.65097
51,27,59.366226
52,28,60.081482
53,28,60.081482
54,27,59.366226
55,27,58.65097
56,26,57.22046
57,25,54.359436
58,23,50.783157
59,22,47.922134
60,21,45.41874
61,20,43.988228
62,19,41.84246
63,19,41.484833
64,20,43.272972
65,21,45.41874
66,21,45.41874
67,21,45.41874
68,22,47.20688
69,24,52.21367
70,26,56.505203
71,27,59.366226
72,28,60.796738
